target_department,candidate_bucket,contract_id,contract_number,contract_name,supplier_id,supplier_display_name,department,renegotiation_prob,contract_age_years,payment_terms,incoterms,contract_value_dkk
"Quality, Production Services & Supplies",likely_yes_high_score,117011,117023,Novozymes AS_Stand-alone_2018_Kalundborg Bioenergi Internal Agreement,8115,NOVOZYMES A/S,"Quality, Production Services & Supplies",0.9999999999940576,7,,,0.0
"Quality, Production Services & Supplies",likely_yes_high_score,19691,19691,Novozymes_SLA_2015,9941,KALUNDBORG FORSYNING A/S,"Quality, Production Services & Supplies",0.9999999999919228,10,,,0.0
"Quality, Production Services & Supplies",likely_yes_high_score,1076,1076,Biomerieux_Master_2014_SA,17008,BIOMÉRIEUX DENMARK APS,"Quality, Production Services & Supplies",0.9999999999919228,11,,DDP Delivered duty paid,
"Quality, Production Services & Supplies",likely_yes_high_score,350,350,Farusa Emballage ApS_Stand-alone_2018_BTA,937,FARUSA EMBALLAGE A/S,"Quality, Production Services & Supplies",0.9999999999919228,7,F045 Invoice Date + 45 days,DDP Delivered duty paid,0.0
"Quality, Production Services & Supplies",likely_yes_high_score,1006,1006,Grathwol AS_Master_2012_SA,389,GRATHWOL A/S,"Quality, Production Services & Supplies",0.9999999999909776,13,,DDP Delivered duty paid,
"Quality, Production Services & Supplies",likely_yes_high_score,932,932,Nalco Danmark ApS_STAND-ALONE_2016_BTA,863,NALCO DANMARK APS,"Quality, Production Services & Supplies",0.9999999999909776,9,,,0.0
"Quality, Production Services & Supplies",likely_yes_high_score,1055,1055,PharmaSkan ApS_Master_2011_SA,1614,PHARMA SKAN APS,"Quality, Production Services & Supplies",0.9999999999909776,14,L045 Current Month + 45 days,DAP Del.at Place-excl.unloading,
"Quality, Production Services & Supplies",likely_yes_high_score,150629,150638,Schoeller-plast-enterprise_Amendment 01,1873,SCHOELLER-PLAST-ENTERPRISE A/S,"Quality, Production Services & Supplies",0.9999999999909776,7,F060 Invoice Date + 60 days,CPT Carriage paid,0.0
"Quality, Production Services & Supplies",likely_yes_high_score,6878,6878,Quality Assistance_call-off_20180117_TA_hydro,12251,QUALITY ASSISTANCE S.A.,"Quality, Production Services & Supplies",0.9999999999909776,7,,EXW Ex works,0.0
"Quality, Production Services & Supplies",likely_yes_high_score,5700,5702,Quality Assistance_master_20040823_MSA,12251,QUALITY ASSISTANCE S.A.,"Quality, Production Services & Supplies",0.9999999999909776,21,F030 Invoice Date + 30 days,,
"Quality, Production Services & Supplies",likely_no_low_score,539677,539074,WESTFIELD MEDICAL LIMITED_Stand-alone_PA_2025,13838,WESTFIELD MEDICAL LIMITED,"Quality, Production Services & Supplies",0.0131457203458643,0,F060 Invoice Date + 60 days,DAP Del.at Place-excl.unloading,2537.14
"Quality, Production Services & Supplies",likely_no_low_score,120270,120281,ELPRO_Call-Off_2021_Amendment3_Price-Update,11092,ELPRO-BUCHS AG,"Quality, Production Services & Supplies",0.0395087510795712,4,F045 Invoice Date + 45 days,DDP Delivered duty paid,0.0
"Quality, Production Services & Supplies",likely_no_low_score,542602,541994,ELPRO-BUCHS AG_Call-off-2025_FTA_Amendmen_04,11092,ELPRO-BUCHS AG,"Quality, Production Services & Supplies",0.0395087510795712,0,F060 Invoice Date + 60 days,DAP Del.at Place-excl.unloading,0.0
"Quality, Production Services & Supplies",likely_no_low_score,370,370,AGA AS_Master_20170601_FTA,6845,LINDE GAS A/S,"Quality, Production Services & Supplies",0.078553985884142,2,F060 Invoice Date + 60 days,DDP Delivered duty paid,600000.0
"Quality, Production Services & Supplies",likely_no_low_score,333528,334586,LINDE GAS_Call-Off_2023_FTA_2023_AA4_Supply and delivery,6845,LINDE GAS A/S,"Quality, Production Services & Supplies",0.078553985884142,2,F060 Invoice Date + 60 days,DDP Delivered duty paid,1500000.0
"Quality, Production Services & Supplies",likely_no_low_score,377791,378533,Linde_gas_AS_call_off_2024_AA6_Supply of gases to 25L_StSo,6845,LINDE GAS A/S,"Quality, Production Services & Supplies",0.078553985884142,1,F060 Invoice Date + 60 days,DDP Delivered duty paid,2100000.0
"Quality, Production Services & Supplies",likely_no_low_score,198812,198827,LINDE AS_Master_20210101_FTA_AA_AmendmentNo3,6845,LINDE GAS A/S,"Quality, Production Services & Supplies",0.078553985884142,3,F060 Invoice Date + 60 days,DDP Delivered duty paid,18500000.0
"Quality, Production Services & Supplies",likely_no_low_score,431596,432344,Linde Gas_Master_2024_FTA AA5,6845,LINDE GAS A/S,"Quality, Production Services & Supplies",0.078553985884142,2,F060 Invoice Date + 60 days,DDP Delivered duty paid,600000.0
"Quality, Production Services & Supplies",likely_no_low_score,425258,425928,Stena Recycling A/S_Master Supply Agreement_2024_Waste Management,10104,STENA RECYCLING A/S,"Quality, Production Services & Supplies",0.0788909248973606,1,F060 Invoice Date + 60 days,CPT Carriage paid,117786837.0
"Quality, Production Services & Supplies",likely_no_low_score,483078,483107,COMBITHERM_Call-off_2021_Master_AA1,247748,COMBI-THERM A/S,"Quality, Production Services & Supplies",0.0917250810863877,3,F060 Invoice Date + 60 days,DDP Delivered duty paid,48000000.0
"Quality, Production Services & Supplies",uncertain_near_0_5,512122,512037,Iron Mountain_Service Agreement_2025,36610,Iron Mountain Ireland Limited,"Quality, Production Services & Supplies",0.5,0,F030 Invoice Date + 30 days,,1005750.0
"Quality, Production Services & Supplies",uncertain_near_0_5,174783,174800,ELIS_Call-off_2021_FTA_AA3_Yearly Global Rebate_Brazil,5451,ELIS DANMARK A/S,"Quality, Production Services & Supplies",0.4723631629313609,4,F045 Invoice Date + 45 days,,0.0
"Quality, Production Services & Supplies",uncertain_near_0_5,412816,413535,BioReliance_Call-off_2024_MSA_AA8_Extension of contract_,11544,BIORELIANCE LIMITED INVITROGEN BIOSERVICES,"Quality, Production Services & Supplies",0.4642805071617468,1,F030 Invoice Date + 30 days,DDP Delivered duty paid,5985000.0
"Quality, Production Services & Supplies",uncertain_near_0_5,484758,484729,EUTECMA_MASTER_2021_Supply of pallet shippers_Amendment_1,239235,EUTECMA GMBH,"Quality, Production Services & Supplies",0.4642805071617468,3,F060 Invoice Date + 60 days,DDP Delivered duty paid,91609340.0
"Quality, Production Services & Supplies",uncertain_near_0_5,476183,476294,UV Medico AS_Amendment 1_2024_MSA_term_change,262082,UV MEDICO A/S,"Quality, Production Services & Supplies",0.4642805071617468,0,F045 Invoice Date + 45 days,DDP Delivered duty paid,7500000.0
"Quality, Production Services & Supplies",uncertain_near_0_5,187083,187097,EUTECMA_MASTER_2021_Supply of pallet shippers,239235,EUTECMA GMBH,"Quality, Production Services & Supplies",0.4642805071617468,3,F060 Invoice Date + 60 days,DDP Delivered duty paid,60.0
"Quality, Production Services & Supplies",uncertain_near_0_5,195064,18906,DTE_Nielsen___Løjmar_BTA_2021_Supply_of_palletizing_material,837,DANSK TRÆEMBALLAGE A/S,"Quality, Production Services & Supplies",0.4642805071617468,3,F060 Invoice Date + 60 days,DDP Delivered duty paid,0.0
"Quality, Production Services & Supplies",uncertain_near_0_5,196522,196534,Bording_BTA_2021_Supply of cooling labels,8038,BORDING DANMARK A/S,"Quality, Production Services & Supplies",0.4642805071617468,3,F060 Invoice Date + 60 days,DDP Delivered duty paid,0.0
"Quality, Production Services & Supplies",uncertain_near_0_5,197471,197483,Europart_BTA_2021_Supply of palletizing support,247621,EUROPART DANMARK A/S,"Quality, Production Services & Supplies",0.4642805071617468,3,F060 Invoice Date + 60 days,,0.0
"Quality, Production Services & Supplies",uncertain_near_0_5,458020,458305,OneSeal APS_Basic Terms Agreement_2024_New seals for critical waste,10286,ONESEAL APS,"Quality, Production Services & Supplies",0.4642805071617468,1,F060 Invoice Date + 60 days,DDP Delivered duty paid,180000.0
