feature,importance
num__lpi_relative_risk,0.1559872
num__fin_implied_rating_missing_flag,0.13392319
num__lpi_below_supplier_median,0.12726869
num__missingindicator_fin_Number_of_months,0.12561262
num__fin_flag_moderate_or_worse_rating,0.10858262
num__Customs,0.05919674
num__contract_age_years,0.03836381
num__missingindicator_fin_implied_rating_ordinal,0.024168763
num__Tracking_Tracing,0.018343262
num__start_year,0.014711793
num__fin_flag_multiple_financial_stress_signals,0.013955713
num__LPI_Score,0.012522767
num__missingindicator_years_to_expiry_capped,0.011607486
num__fin_flag_severe_financial_stress,0.009762582
num__esg_row_missing_pct,0.0066050254
cat__department_Logistics,0.006146565
num__expiry_year,0.005719437
num__fin_total_stress_flags,0.005397926
cat__term_type_perpetual,0.0048985975
num__open_ended_contract,0.004838563
cat__moodys_risk_rating_Do not source,0.004602646
num__missingindicator_fin_profit_margin,0.0038464754
num__missingindicator_contract_value_dkk,0.0037444457
num__observation_year,0.0031731594
cat__fin_moodys_company_name_Novozymes A/S,0.0030381589
num__esg_esg_industry_adjusted,0.0028705979
cat__Risk level_Go ahead,0.0028571137
num__esg_social_score,0.0026313954
num__missingindicator_avg_vol,0.0026132017
num__news_has_high_relevance_negative_news,0.0022759074
num__news_negative_count,0.0021455358
cat__fin_implied_rating_A,0.001996522
num__supplier_is_publicly_listed,0.0019510201
num__missingindicator_fin_Net_assets_turnover,0.0018879808
num__missingindicator_Price_trends_52 weeks_%,0.0018767163
cat__fin_risk_level_Take caution,0.0017124489
cat__contract_commodity_Cleaning Unclassified,0.0016844482
cat__fin_closing_date_2023-12-31,0.001676772
cat__fin_implied_rating_Baa,0.0016659871
cat__Risk level_Do not source,0.0014917906
num__esg_social_weight,0.0013282979
cat__fin_implied_rating_Ba,0.0012870159
num__Timeliness,0.0011967283
"cat__fin_output_text_Use caution. Input from outdated and/or partial data, hence low quality credit rating & traffic light. Mitigation actions required. Request financial data from supplier as described in the risk process tab.",0.0011766552
cat__contract_commodity_Process Aids,0.0011717404
num__fin_financial_level_missing_flag,0.0011347999
num__fin_implied_rating_ordinal,0.0011187545
num__Price_trends_52 weeks_%,0.0010892435
num__fin_flag_liquidity_stress,0.0010724209
cat__fin_risk_level_Do not source,0.0010065903
num__news_article_count,0.0009922294
num__fin_ebit_margin_missing_flag,0.0009899836
num__PPI_Value,0.0009278365
cat__fin_Implied_rating - original_Baa3,0.00092750764
cat__contract_commodity_Warehouse Operations - Storage,0.0009161579
cat__contract_commodity_Shipper Boxes,0.00091257703
cat__department_Packaging Material,0.00089355424
num__contract_value,0.0008788056
num__fin_Number_of_employees,0.00085957855
num__market_flag_negative_volume_trend,0.0008550556
cat__team_Devices & Needles,0.00082151016
cat__fin_moodys_company_name_Nemera LA Verpilliere,0.0007644319
num__contracts_per_supplier,0.0007464538
cat__fin_closing_date_2023-06-30,0.00069624133
cat__contract_commodity_Moulding Tools Unclassified,0.0006733428
cat__contract_commodity_Freights Forwarding - Air,0.00066181173
cat__contract_commodity_Freights Forwarding - Road,0.00065807265
num__market_flag_negative_52w_price_trend,0.00063017267
num__contract_value_dkk,0.00062817696
cat__nn_contract_type_Other,0.000613186
num__missingindicator_esg_esg_overall,0.0006119169
cat__nn_contract_type_Supply Agreement,0.0006053277
"cat__supplier_sector_Transport, Freight & Storage",0.00060233695
num__news_negative_ratio,0.00059185905
cat__contract_currency_code_USD,0.0005733508
cat__incoterms_CPT Carriage paid,0.000568384
cat__contract_currency_code_DKK,0.00056838157
cat__contract_currency_code_EUR,0.0005666896
cat__contract_commodity_4PL,0.0005396725
cat__payment_terms_F045 Invoice Date + 45 days,0.0005378518
"cat__contract_type_Finance, Legal & Procurement",0.0005372736
cat__incoterms_EXW Ex works,0.00053714745
cat__contract_type_Research & Development,0.0005064507
num__International_Shipments,0.00049223844
num__fin_current_ratio,0.00046168367
num__years_to_expiry_capped,0.00045634113
cat__Current_market_capitalisation_DKK_154.546.116,0.00045579826
cat__department_from_cost_center_Devices & Needles,0.00044513922
num__fin_flag_risk_take_caution_or_worse,0.00042672415
num__fin_short_term_liabilities_equity_ratio,0.00041847062
cat__contract_currency_code_CNY,0.00041786366
num__fin_flag_strong_liquidity,0.00041119775
num__fin_Total_liabilities_Equity_ratio,0.00039970304
"cat__fin_output_text_Sourcing exclusion recommended. Input from outdated and/or partial data, hence low quality credit rating & traffic light. Mitigation actions required. Request financial data from supplier as described in the risk process tab.",0.0003914094
cat__expiry_pressure_bucket_within_1y,0.0003846479
num__market_data_available,0.00037772532
cat__supplier_sector_Waste Management & Treatment,0.00037413705
num__start_year_capped,0.00035801344
num__fin_flag_risk_do_not_source,0.00035763235
num__missingindicator_news_article_count,0.00035706896
num__news_positive_count,0.00035335377
cat__nn_contract_type_Logistics Services Provider Agreement,0.0003447401
num__esg_industry_max,0.0003378636
num__fin_long_term_gearing,0.0003373822
cat__fin_moodys_company_name_DHL Supply Chain Denmark A/S,0.00033441218
num__contract_owner_cost_centre,0.00033154496
cat__nn_contract_type_Distributor Agreement,0.00033076122
num__news_avg_sentiment_score,0.00032660048
num__esg_env_weight,0.0003248867
cat__fin_moodys_company_name_CCL Label A/S,0.00031970246
num__fin_flag_negative_ebit_margin,0.00031424197
num__vol_stability_score,0.00030472674
cat__payment_terms_F030 Invoice Date + 30 days,0.00030273298
cat__fin_moodys_company_name_DHL Global Forwarding (Denmark) A/S,0.00030176106
cat__contract_commodity_Cartons,0.00030165646
num__esg_gov_score,0.00029535923
num__esg_env_score,0.00029473385
cat__incoterms_DAP Del.at Place-excl.unloading,0.00028861294
cat__fin_implied_rating_Caa,0.0002874558
cat__incoterms_DDP Delivered duty paid,0.0002861575
num__avg_vol,0.00028478174
num__fin_gearing,0.000277234
num__news_max_relevance_score,0.00026296361
num__fin_flag_severe_liquidity_stress,0.00025856774
cat__expiry_pressure_bucket_1_to_3y,0.000252271
num__news_neutral_count,0.0002450515
num__esg_gov_weight,0.00024426728
cat__Shares outstanding_320.036.000,0.00024202908
num__fin_Total_shareholders'_funds_and_liabilitiesth_DKK,0.00024104843
num__fin_Cash_ratio,0.00023098479
cat__payment_terms_F060 Invoice Date + 60 days,0.00022522866
num__fin_ebit_margin,0.00022156021
num__fin_interest_coverage_ratio,0.00022151259
cat__contract_commodity_Distributor Delivery,0.00021986109
num__esg_esg_overall,0.0002173073
cat__incoterms_FOB Free on board,0.00021699192
cat__nn_contract_type_Confidentiality Agreement,0.00020833248
cat__nn_contract_type_Framework Trading Agreement,0.00020559112
num__news_row_missing_pct,0.00020385113
num__fin_debt_asset_ratio,0.00019712398
num__missingindicator_PPI_Value,0.00019570511
"cat__supplier_sector_Wood, Furniture & Paper Manufacturing",0.00019491464
num__news_avg_relevance_score,0.00019305146
num__fin_flag_debt_asset_high,0.00019155297
cat__Shares outstanding_414.555.046,0.00018347891
cat__expiry_pressure_bucket_5y_plus,0.00017327271
num__market_flag_stock_price_take_caution_or_worse,0.00016974943
cat__contract_commodity_Catering & Canteen Services',0.00016894193
