target_department,candidate_bucket,contract_id,contract_name,supplier_id,supplier_display_name,department,renegotiation_prob,contract_age_years,years_to_expiry_capped,payment_terms,incoterms,contract_value_dkk
"Quality, Production Services & Supplies",likely_yes_high_score,1091,Steris Corporation_Stand-Alone_2014_SA,17817,STERIS CORPORATION,"Quality, Production Services & Supplies",0.999999999992746,11,,F045 Invoice Date + 45 days,,
"Quality, Production Services & Supplies",likely_yes_high_score,1090,Steris Corporation_Master_2016_SA,17817,STERIS CORPORATION,"Quality, Production Services & Supplies",0.999999999992746,9,,F045 Invoice Date + 45 days,,0.0
"Quality, Production Services & Supplies",likely_yes_high_score,19691,Novozymes_SLA_2015,9941,KALUNDBORG FORSYNING A/S,"Quality, Production Services & Supplies",0.9999999999910528,10,,,,0.0
"Quality, Production Services & Supplies",likely_yes_high_score,1076,Biomerieux_Master_2014_SA,17008,BIOMÉRIEUX DENMARK APS,"Quality, Production Services & Supplies",0.9999999999910528,11,,,DDP Delivered duty paid,
"Quality, Production Services & Supplies",likely_yes_high_score,350,Farusa Emballage ApS_Stand-alone_2018_BTA,937,FARUSA EMBALLAGE A/S,"Quality, Production Services & Supplies",0.9999999999910528,7,,F045 Invoice Date + 45 days,DDP Delivered duty paid,0.0
"Quality, Production Services & Supplies",likely_yes_high_score,8138,Gentofte Fjernvarme_Master_2014_SA,8238,GENTOFTE KOMMUNE KRAFTVARME V/NESA A/S,"Quality, Production Services & Supplies",0.9999999999910528,11,,F030 Invoice Date + 30 days,,
"Quality, Production Services & Supplies",likely_yes_high_score,893,Groesfjeld Advance Cleaning Solutions ApS_Stand-Alone_2018_BTA,12092,GROESFJELD ADVANCED CLEANINGSOLUTIONS APS,"Quality, Production Services & Supplies",0.9999999999910528,7,,,,0.0
"Quality, Production Services & Supplies",likely_yes_high_score,117011,Novozymes AS_Stand-alone_2018_Kalundborg Bioenergi Internal Agreement,8115,NOVOZYMES A/S,"Quality, Production Services & Supplies",0.9999999999894736,7,,,,0.0
"Quality, Production Services & Supplies",likely_yes_high_score,1006,Grathwol AS_Master_2012_SA,389,GRATHWOL A/S,"Quality, Production Services & Supplies",0.9999999999893744,13,,,DDP Delivered duty paid,
"Quality, Production Services & Supplies",likely_yes_high_score,5700,Quality Assistance_master_20040823_MSA,12251,QUALITY ASSISTANCE S.A.,"Quality, Production Services & Supplies",0.9999999999893744,21,,F030 Invoice Date + 30 days,,
"Quality, Production Services & Supplies",likely_no_low_score,539677,WESTFIELD MEDICAL LIMITED_Stand-alone_PA_2025,13838,WESTFIELD MEDICAL LIMITED,"Quality, Production Services & Supplies",0.0027910537868363,0,2.0,F060 Invoice Date + 60 days,DAP Del.at Place-excl.unloading,2537.14
"Quality, Production Services & Supplies",likely_no_low_score,425258,Stena Recycling A/S_Master Supply Agreement_2024_Waste Management,10104,STENA RECYCLING A/S,"Quality, Production Services & Supplies",0.0259432887491342,1,,F060 Invoice Date + 60 days,CPT Carriage paid,117786837.0
"Quality, Production Services & Supplies",likely_no_low_score,120270,ELPRO_Call-Off_2021_Amendment3_Price-Update,11092,ELPRO-BUCHS AG,"Quality, Production Services & Supplies",0.031416992596761,4,1.0,F045 Invoice Date + 45 days,DDP Delivered duty paid,0.0
"Quality, Production Services & Supplies",likely_no_low_score,542602,ELPRO-BUCHS AG_Call-off-2025_FTA_Amendmen_04,11092,ELPRO-BUCHS AG,"Quality, Production Services & Supplies",0.031416992596761,0,1.0,F060 Invoice Date + 60 days,DAP Del.at Place-excl.unloading,0.0
"Quality, Production Services & Supplies",likely_no_low_score,483078,COMBITHERM_Call-off_2021_Master_AA1,247748,COMBI-THERM A/S,"Quality, Production Services & Supplies",0.0442478920733666,3,2.0,F060 Invoice Date + 60 days,DDP Delivered duty paid,48000000.0
"Quality, Production Services & Supplies",likely_no_low_score,196672,COMBITHERM_MASTER_2021_Supply of thermal blankets,247748,COMBI-THERM A/S,"Quality, Production Services & Supplies",0.0442478920733666,3,2.0,F060 Invoice Date + 60 days,DDP Delivered duty paid,18000000.0
"Quality, Production Services & Supplies",likely_no_low_score,216942,Softbox_MASTER_2022_FTA pallet shippers,243922,SOFTBOX SYSTEMS LTD,"Quality, Production Services & Supplies",0.0867772236462671,3,1.0,F060 Invoice Date + 60 days,DDP Delivered duty paid,18000000.0
"Quality, Production Services & Supplies",likely_no_low_score,485224,Nicapac_AB_Stand-alone_2024_BTA_vF,428444,NICAPAC AB,"Quality, Production Services & Supplies",0.1179634089012094,1,,F060 Invoice Date + 60 days,DAP Del.at Place-excl.unloading,800000.0
"Quality, Production Services & Supplies",likely_no_low_score,487395,Bachmann_Forming_AG_Stand-alone_2024_BTA_vF,429933,BACHMANN FORMING AG,"Quality, Production Services & Supplies",0.1179634089012094,0,,F060 Invoice Date + 60 days,DAP Del.at Place-excl.unloading,1400000.0
"Quality, Production Services & Supplies",likely_no_low_score,531952,Georg Utz_MSA_2025_Carry-Safe Tray Pallet Units,429931,GEORG UTZ AG,"Quality, Production Services & Supplies",0.1179634089012094,0,6.0,F060 Invoice Date + 60 days,DDP Delivered duty paid,73000000.0
"Quality, Production Services & Supplies",uncertain_near_0_5,174771,ELIS_Call-off_2021_FTA_AA2_Yearly Global Rebate_France,5451,ELIS DANMARK A/S,"Quality, Production Services & Supplies",0.5226525199974209,4,,F045 Invoice Date + 45 days,,0.0
"Quality, Production Services & Supplies",uncertain_near_0_5,174783,ELIS_Call-off_2021_FTA_AA3_Yearly Global Rebate_Brazil,5451,ELIS DANMARK A/S,"Quality, Production Services & Supplies",0.4571218105786734,4,,F045 Invoice Date + 45 days,,0.0
"Quality, Production Services & Supplies",uncertain_near_0_5,412816,BioReliance_Call-off_2024_MSA_AA8_Extension of contract_,11544,BIORELIANCE LIMITED INVITROGEN BIOSERVICES,"Quality, Production Services & Supplies",0.4420262372792088,1,2.0,F030 Invoice Date + 30 days,DDP Delivered duty paid,5985000.0
"Quality, Production Services & Supplies",uncertain_near_0_5,458163,Krebs&CO_Price Agreement_2024_Spring Box Units,167980,J KREBS & CO A/S,"Quality, Production Services & Supplies",0.4420262372792088,1,,L060 Current Month + 60 days,DDP Delivered duty paid,6000000.0
"Quality, Production Services & Supplies",uncertain_near_0_5,458020,OneSeal APS_Basic Terms Agreement_2024_New seals for critical waste,10286,ONESEAL APS,"Quality, Production Services & Supplies",0.4420262372792088,1,,F060 Invoice Date + 60 days,DDP Delivered duty paid,180000.0
"Quality, Production Services & Supplies",uncertain_near_0_5,223483,Q8_Contract_2022_Tank rental and storage agreement,8780,Q8 DANMARK A/S,"Quality, Production Services & Supplies",0.4420262372792088,3,2.0,F015 Invoice Date + 15 days,CPT Carriage paid,50000000.0
"Quality, Production Services & Supplies",uncertain_near_0_5,43227,DanPal_Master_2020__FTA,6637,DANPAL PRODUKTION APS,"Quality, Production Services & Supplies",0.4420262372792088,0,1.0,F060 Invoice Date + 60 days,DDP Delivered duty paid,6700000.0
"Quality, Production Services & Supplies",uncertain_near_0_5,426439,Mortalin AS_Framework Trading Agreement_2024_Pest Control,1930,MORTALIN A/S,"Quality, Production Services & Supplies",0.4420262372792088,1,,F060 Invoice Date + 60 days,DDP Delivered duty paid,22054.46
"Quality, Production Services & Supplies",uncertain_near_0_5,419939,Alcami CDA Mutual agreement 2024,104215,ALCAMI CAROLINAS CORPORATION ALCAMI CORPORATION,"Quality, Production Services & Supplies",0.4420262372792088,1,1.0,,,0.0
"Quality, Production Services & Supplies",uncertain_near_0_5,571643,Novapor Hans Lau GMBH_CDA_2025_Packaging Consumables and Load Carriers,496499,NOVAPOR HANS LAU (GMBH &CO) KG,"Quality, Production Services & Supplies",0.4420262372792088,0,1.0,,,0.0
